Date,Open,High,Low,Close,Adj Close,Volume
2011-03-07,31.200001,31.500000,30.500000,31.120001,24.494720,74131500
2011-03-14,30.959999,33.080002,30.360001,33.060001,26.021708,30738500
2011-03-21,33.389999,33.389999,31.389999,32.950001,25.935125,17135900
2011-03-28,32.869999,34.570000,32.750000,33.740002,26.556940,14067800
2011-04-04,33.869999,34.200001,32.849998,33.169998,26.108286,13260300
2011-04-11,33.340000,33.340000,30.790001,31.980000,25.171629,27485300
2011-04-18,31.820000,33.099998,30.750000,31.400000,24.715109,12077300
2011-04-25,31.559999,33.000000,31.100000,32.799999,25.817059,8721100
2011-05-02,32.799999,34.740002,31.940001,34.250000,26.958361,14948200
2011-05-09,34.349998,34.860001,34.000000,34.599998,27.233850,7410900
2011-05-16,34.299999,35.240002,34.000000,34.630001,27.257463,10117500
2011-05-23,34.400002,35.099998,34.000000,34.740002,27.344044,11010300
2011-05-30,34.990002,35.310001,33.720001,34.139999,26.871780,15842400
2011-06-06,33.980000,35.369999,33.060001,33.900002,26.682878,9572500
2011-06-13,34.150002,34.990002,32.619999,34.590000,27.225981,15714600
2011-06-20,34.720001,34.720001,32.160000,32.250000,25.384150,21374500
2011-06-27,32.400002,33.500000,31.490000,33.060001,26.021708,10221400
2011-07-04,33.070000,34.740002,32.980000,33.830002,26.627781,6228800
2011-07-11,33.540001,33.730000,32.650002,33.220001,26.147644,5198300
2011-07-18,33.040001,34.919998,32.439999,34.610001,27.241720,8755000
2011-07-25,30.049999,30.799999,26.500000,26.680000,20.999973,48213900
2011-08-01,26.959999,27.190001,21.690001,21.990000,17.308449,37326100
2011-08-08,21.580000,21.670000,17.030001,21.219999,16.702379,43989000
2011-08-15,21.420000,23.549999,19.059999,19.270000,15.167522,18841000
2011-08-22,19.570000,20.240000,18.469999,19.500000,15.348557,9738600
2011-08-29,19.730000,20.620001,18.309999,18.650000,14.679516,10389900
2011-09-05,18.080000,20.150000,17.870001,18.299999,14.404030,8439200
2011-09-12,18.090000,21.540001,17.200001,21.230000,16.710249,26322800
2011-09-19,20.730000,20.740000,19.030001,19.459999,15.317072,17453000
2011-09-26,19.770000,20.370001,19.200001,20.160000,15.868046,11215000
2011-10-03,20.090000,20.490000,17.430000,18.600000,14.640161,17092300
2011-10-10,18.990000,22.160000,18.820000,22.049999,17.355675,13671000
2011-10-17,21.950001,23.379999,21.110001,23.309999,18.347427,14287100
2011-10-24,23.270000,23.549999,21.330000,22.780001,17.930262,11629500
2011-10-31,22.680000,25.639999,22.500000,23.510000,18.504850,19097600
2011-11-07,23.350000,26.860001,23.350000,26.530001,20.881908,21651100
2011-11-14,26.400000,26.760000,24.629999,25.200001,19.835058,14622700
2011-11-21,24.680000,25.500000,23.219999,23.459999,18.465494,7600400
2011-11-28,23.860001,24.730000,21.549999,22.450001,17.670517,17022000
2011-12-05,23.740000,24.030001,21.129999,21.180000,16.670895,14351900
2011-12-12,21.080000,21.900000,19.860001,21.570000,16.977865,18678600
2011-12-19,21.670000,22.219999,20.940001,21.459999,16.891283,8415000
2011-12-26,21.410000,22.350000,20.820000,22.030001,17.339931,4937300
2012-01-02,22.000000,22.639999,20.650000,22.340000,17.583933,9850100
2012-01-09,22.139999,24.100000,20.330000,23.900000,18.811821,20087000
2012-01-16,23.920000,24.799999,23.559999,24.500000,19.284084,7292200
2012-01-23,24.430000,27.030001,24.430000,25.719999,20.244352,18664000
2012-01-30,25.650000,26.500000,24.280001,26.459999,20.826811,16032500
2012-02-06,28.990000,29.299999,27.410000,27.830000,21.905144,33935800
2012-02-13,28.129999,28.200001,24.660000,25.080000,19.740604,16033000
2012-02-20,25.180000,26.830000,25.000000,26.740000,22.710352,7238300
2012-02-27,26.540001,27.370001,25.870001,25.910000,22.005432,10371100
2012-03-05,25.870001,26.120001,24.990000,25.620001,21.759132,8641500
2012-03-12,25.530001,25.959999,24.660000,25.440001,21.606258,11266600
2012-03-19,25.320000,25.459999,24.129999,25.049999,21.275030,10721200
2012-03-26,25.240000,25.820000,22.950001,24.740000,21.011745,24511400
